226,253,229,247,232,242,234,236,236,230,238,224,239,217,251,220,250,227,248,234,246,241,244,247,241,252,238,258,1
240,214,241,207,241,201,241,195,241,188,240,182,238,176,249,173,251,180,252,187,253,194,253,201,252,207,251,214,1
8,83,9,77,9,70,10,63,10,56,11,49,11,42,27,43,27,50,26,57,26,64,25,71,25,77,24,84,1
173,245,174,228,174,212,174,196,174,179,174,163,174,147,203,146,203,162,203,179,204,195,204,212,204,229,204,246,1
122,191,122,181,123,172,126,163,129,154,133,146,139,138,146,145,141,152,137,159,134,167,132,175,131,183,131,192,1
7,141,7,132,8,123,8,115,9,106,9,97,10,89,27,90,27,99,26,107,26,116,25,125,25,133,25,142,1
74,209,74,200,74,190,74,181,74,171,73,162,73,153,94,151,95,161,95,170,96,180,96,189,96,199,96,208,1
237,173,236,168,235,163,233,158,231,153,229,149,226,145,236,138,238,143,241,147,243,152,245,158,247,163,248,168,1
38,329,40,319,42,309,43,299,44,289,44,280,44,270,67,270,68,281,68,291,67,302,65,312,63,323,61,334,1
7,244,7,236,7,227,7,218,7,210,7,202,8,193,23,193,22,202,22,210,22,218,22,227,23,235,23,243,1
7,188,7,182,7,176,8,170,8,165,9,159,9,154,23,154,23,160,23,165,22,171,22,177,22,182,22,188,1
73,249,73,243,73,236,73,229,74,223,75,217,76,211,94,212,94,218,93,224,92,230,92,236,92,243,92,249,1
75,118,78,118,82,117,86,117,90,118,94,118,97,119,94,150,91,150,87,149,83,149,79,149,76,149,73,149,1
