377,473,390,474,403,474,416,474,428,474,441,474,454,474,454,497,441,497,428,498,415,498,402,497,389,497,376,496,1
395,504,412,504,429,505,445,505,461,506,476,506,492,507,492,531,476,530,460,529,445,529,429,529,412,528,396,528,1
207,507,216,508,225,509,234,509,243,509,252,509,262,509,261,529,252,529,243,529,233,529,224,528,215,528,206,526,1
207,419,232,421,256,422,280,422,304,422,328,422,352,423,352,455,328,455,304,455,280,455,256,455,231,454,207,452,1
459,478,466,477,474,477,481,477,488,476,495,476,502,477,502,498,495,497,488,497,481,497,474,497,467,497,460,498,1
348,473,352,474,356,474,360,475,364,475,368,475,371,474,371,498,367,498,364,498,360,498,356,497,352,497,348,497,1
205,473,230,473,253,473,277,473,300,473,323,473,346,473,346,500,322,500,299,500,276,500,253,500,230,500,206,500,1
266,511,287,511,307,511,326,511,346,510,366,508,387,507,387,526,366,528,346,529,326,530,306,530,286,530,266,530,1
260,355,266,355,271,355,277,354,282,352,287,350,292,347,296,360,291,363,285,366,279,367,273,368,266,369,260,368,1
290,346,300,342,307,337,313,331,316,323,317,314,317,304,330,305,331,318,329,330,325,340,318,349,308,356,297,360,1
236,358,223,353,212,346,204,336,199,325,196,312,196,297,211,296,211,308,212,319,216,328,223,335,231,340,242,344,1
