187,362,199,361,211,360,222,360,233,359,245,358,255,358,256,376,245,376,234,376,223,377,211,377,200,378,189,379,1
296,586,310,585,324,584,338,583,352,582,366,582,380,583,380,604,366,603,352,604,339,604,325,605,312,606,298,607,1
202,589,218,589,232,589,247,588,262,587,277,585,292,584,294,605,278,607,263,608,248,610,233,610,218,610,203,610,1
141,101,147,91,154,82,162,74,171,68,182,63,193,60,200,75,190,77,182,81,174,86,167,93,162,101,157,110,1
188,339,201,338,214,338,227,337,240,336,253,334,266,333,268,352,254,353,241,354,228,355,214,356,201,356,188,356,1
150,162,143,154,138,145,135,135,135,125,136,114,140,104,156,108,153,116,151,125,152,133,154,141,158,148,164,154,1
358,333,372,332,386,330,399,329,413,328,426,327,440,328,440,346,427,346,413,346,400,347,386,348,373,349,360,351,1
271,333,280,333,289,334,298,333,306,332,315,332,324,331,325,349,317,350,308,351,299,352,290,352,281,353,272,352,1
329,332,334,332,338,333,342,333,346,333,350,333,355,333,353,351,349,351,345,351,341,351,336,350,332,350,328,349,1
335,126,335,116,332,108,329,100,323,93,316,86,308,81,318,68,328,74,336,81,343,90,348,100,351,111,352,122,1
215,53,233,49,251,47,268,48,284,51,301,57,316,66,308,78,294,71,279,66,265,63,250,62,235,64,219,67,1
316,296,339,296,362,295,385,294,408,292,431,291,454,290,455,317,432,318,409,320,386,322,364,323,341,324,318,325,1
257,357,272,357,286,356,300,356,313,354,327,353,341,352,342,371,328,372,314,373,300,374,286,375,272,375,258,375,1
444,328,454,327,464,327,473,327,483,326,492,325,501,325,502,342,493,342,483,343,474,344,464,344,455,345,445,345,1
328,388,339,388,351,388,362,387,373,386,384,385,395,385,396,403,385,403,374,404,362,405,351,405,340,406,328,406,1
230,448,242,447,253,446,264,445,275,445,286,445,297,445,296,462,285,462,274,462,264,463,253,464,242,464,231,465,1
438,443,448,443,458,443,467,442,477,442,486,441,496,442,496,457,487,457,477,457,467,457,458,458,449,458,439,458,1
196,61,199,59,202,57,205,56,209,55,212,54,215,53,219,66,217,66,214,67,211,68,208,69,204,71,201,72,1
